,Unnamed: 0,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
7953,7953,Rodney Atkins,Watching You,68.0,0.625,0.848,2.0,-4.008,1,0.0314,0.105,0.1775619253660327,0.23,0.716,137.993,3.923783333,4,4
11302,11302,Defocus,Diverge,32.0,0.438,0.992,1.0,-3.754,1,0.135,0.000103,2.36e-06,0.441,0.129,104.953,197040.0,4,8
17034,17034,Pablo Briceño,Preludio del valle,43.0,0.384,0.185,9.0,-14.269,0,0.0774,0.991,0.844,0.0931,0.15,149.834,2.52695,3,7
17832,17832,Blind Melon,No Rain,75.0,0.389,0.476,9.0,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,217107.0,4,6
7468,7468,Tesher,Jalebi Baby,78.0,0.68,0.895,2.0,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,3.15625,4,9
5803,5803,Detroit Gary Wiggins,Cobb's Blues,5.0,0.607,0.788,7.0,-3.722,0,0.0951,0.488,0.459,0.716,0.752,131.397,308453.0,4,2
1364,1364,Eddie Burns,You Got To Love Me With A Feeling,5.0,0.49,0.485,2.0,-8.14,1,0.132,0.733,0.0188,0.0867,0.523,185.73,336040.0,3,2
13632,13632,Shlomo Artzi,◊î◊ô◊ê ◊ú◊ê ◊ô◊ï◊ì◊¢◊™ ◊û◊î ◊¢◊ï◊ë◊® ◊¢◊ú◊ô◊ô,45.0,0.702,0.596,4.0,-8.403,0,0.0279,0.716,0.1775619253660327,0.105,0.758,131.996,303760.0,4,10
8972,8972,Sam Fischer,Simple,64.0,0.61,0.456,3.0,-8.659,1,0.0968,0.407,0.1775619253660327,0.138,0.576,72.089,182180.0,4,9
3435,3435,Paul McCartney,No More Lonely Nights (Ballad) - Remastered 1993,53.0,0.32,0.428,5.0,-14.262,1,0.0536,0.00349,0.000276,0.519,0.411,172.603,312733.0,4,10
10457,10457,Zuzu,What You Want,35.0,0.496,0.897,9.0,-3.807,1,0.0408,0.00689,0.1775619253660327,0.0949,0.749,146.064,202450.0,4,6
5605,5605,King Von,The Code (feat. Polo G),72.0,0.831,0.62,6.0,-8.397,0,0.338,0.0582,0.1775619253660327,0.119,0.568,133.17,202413.0,4,5
5744,5744,Warfect,Into the Fray,11.0,0.301,0.923,8.0,-11.316,1,0.109,0.000225,0.29,0.183,0.297,144.721,312187.0,4,8
248,248,Peled,◊ê◊ú◊§◊ô◊ù,41.0,0.706,0.679,7.0,-5.392,0,0.0803,0.543,0.1775619253660327,0.371,0.5,113.038,195699.0,4,5
13506,13506,Wallows,Virtual Aerobics,4.0,0.775,0.55,9.0,-3.765,1,0.0345,0.183,0.1775619253660327,0.0434,0.72,109.952,122333.0,4,6
14993,14993,Superbloom,Pollen,44.51212431693989,0.487,0.785,6.0,-5.857,1,0.0303,9.35e-05,0.0341,0.349,0.259,95.961,212883.0,4,10
9579,9579,Catfish and the Bottlemen,7,66.0,0.531,0.711,10.0,-4.933,1,0.0398,0.000204,0.00291,0.108,0.279,155.068,256307.0,4,10
14659,14659,Flawes,When We Were Young,35.0,0.7,0.798,5.952446502315104,-6.789,1,0.0832,0.0563,4.05e-05,0.171,0.359,115.983,211091.0,4,1
16899,16899,Slim Flock,The Feds Watching,32.0,0.536,0.628,1.0,-9.24,1,0.209,0.00944,0.000502,0.177,0.188,113.194,180500.0,5,5
14817,14817,Dexplicit,Waterboy,15.0,0.765,0.43,10.0,-12.244,0,0.239,0.0148,0.973,0.199,0.135,140.049,189030.0,4,5
13842,13842,Ravid Plotnik,◊ú◊û◊¢◊ú◊î,35.0,0.545,0.671,9.0,-9.54,1,0.0817,0.147,0.1775619253660327,0.61,0.473,81.863,169107.0,4,5
9284,9284,Nine Inch Nails,March Of The Pigs,46.0,0.503,0.903,2.0,-7.427,1,0.0527,0.0218,0.197,0.0861,0.0586,134.462,178493.0,1,8
17021,17021,girlfriends,Congratulations (feat. Jasiah),53.0,0.57,0.891,11.0,-3.6,0,0.128,0.00478,0.1775619253660327,0.0248,0.831,169.979,114809.0,4,5
